Edge Type,From Location,To Location,Date
Letter,,,"1691, May 30"
Letter,,,"1691, May 14"
Letter,,,"1691, May 14"
Letter,,,"1691, January 30"
Letter,,,"1691, June 13"
Letter,,,"1691, May 22"
Letter,,,1691
Letter,,,"1689, February 18"
Letter,,,1691
Letter,,,1691
Letter,Oates,,"1691, September 15"
Letter,Oates,,"1690, August 18"
Letter,Hamilton,Kinneil,"1688, April 13"
Letter,,,"1688, April 10"
Letter,,,"1690, November 13"
Letter,Edinburgh,,"1692, April 4"
Letter,London,,"1691, January 17"
Letter,,,"1691, May 9"
Letter,,,"1691, May 9"
Letter,,,"1690, May 8"
Letter,,,"1691, May 9"
Letter,,,"1690, Jan 10"
Letter,,,"1690, Jun 30"
Letter,,,"1690, May 22"
Letter,Shoerw,,"1690, Apr 30"
Letter,,,"1690, May 24"
Letter,Litchfield,,"1690, May 18"
Letter,Kinneil,,"1690, Sep 27"
Letter,Hamilton,,"1690, Aug 1"
Letter,,Hamilton,"1690, Dec 31"
Letter,Glasgow,Hamilton,"1690, Nov 24"
Letter,Parckeind,,"1691, Dec 30"
Letter,Hamilton,Edinburgh,"1690, Feb 22"
Letter,Woodside,Edinburgh,"1690, Jul 8"
Letter,Hamilton,Edinburgh,"1690, Feb 12"
Letter,Hamilton,,"1690, Jan 11"
Letter,Hamilton,Edinburgh,"1689, Dec 23"
Letter,Hamilton,Edinburgh,"1689, Dec 21"
Letter,,Edinburgh,"1690, Feb 3"
Letter,Hamilton,Edinburgh,"1691, Mar 23"
Letter,,Edinburgh,"1690, Jun 16"
Letter,Hamiton,Edinburgh,"1689, Nov 9"
Letter,Hamiton,Edinburgh,"1689, Dec 23"
Letter,Hamiton,Edinburgh,"1690, Feb 17"
Letter,Edinburgh,Hamilton,"1692, Jun 29"
Letter,Edinburgh,,"1692, Sep 21"
Letter,Speethead,,"1688, Nov 22"
Letter,Windsor,,"1688, Feb 3"
Letter,,,"1691, May 27"
Letter,,Edinburgh,1689
Letter,Dublin Castle,,"1689, Mar 29"
Letter,Dublin Castle,,"1689, Mar 29"
Letter,Dublin Castle,,"1689, Mar 29"
Letter,Edinburgh,,"1689, Apr 22"
Letter,,,"1689, Jan 14"
Letter,Edinburgh,,"1692, Apr 30"
Letter,Lanarkshire,,"1692, May 2"
Letter,,Edinburgh,1690
Letter,Hamilton,,"1690, Jan 3"
Letter,Edinburgh,,"1689, Jul 10"
Letter,Hamilton,Edinburgh,"1690, Jan 27"
Letter,Edinburgh,,"1689, Jul 9"
Letter,Hamilton,,"1690, Mar 25"
Letter,Broomhill,Edinburgh,"1690, Jan 14"
Letter,Linlithgow,Edinburgh,"1690, Oct 24"
Letter,Edinburgh,Edinburgh,"1689, Sep 9"
Letter,Glasgow,Edinburgh,"1690, May 17"
Letter,Glasgow,Edinburgh,"1691, Jul 2"
Letter,Hamilton,,"1690, Feb 24"
Letter,,,"1690, May 27"
Letter,Litchfield,,"1690, May 23"
Letter,,Lanark,"1688, Sep 19"
Letter,,,"1691, May 7"
Letter,,,"1688, Oct 29"
Letter,London,,"1691, March 3"
Letter,Hague,,"1691, April 20"
Letter,,,1691
Letter,,,"1691, Aug 29"
Letter,Hague,,"1691, Oct 24"
Letter,,,"1691, Nov 2"
Letter,St. Germain,,"1691, Dec 12"
Letter,,,"1692, Feb 20"
Letter,,,"1688, Dec 17"
Letter,,,"1689, March 23"
Letter,Hampton Court,,"1689, April 2"
Letter,Holyrood House,,"1689, April 17"
Letter,Hampton Court,,"1689, April 25"
Letter,Hampton Court,,"1689, May 17"
Letter,Copthall,,"1689, May 31"
Letter,,,"1689, June 22"
Letter,Hampton Court,,"1689, July 4"
Letter,Whitehall,,"1689, July 17"
Letter,Hampton Court,,"1689, July 4"
Letter,Kensington,,"1690, Jan 21"
Letter,Holyrood House,,"1690, Feb 21"
Letter,Kensington,,"1691, July 22"
Letter,Holyrood House,,"1691, July 29"
Letter,Dumbarton,,"1689, July 14"
Letter,,,"1689, July 18"
Letter,,,"1689, July 25"
Confession,Lochiel,,"1689, July 24"
Letter,,,"1689, July 8"
Letter,,,"1691, Aug 3"
Letter,London,,"1689, April 13"
