Edge Type,From Location,To Location,Date
Letter,Holyrood House,,"1689, Jun 23"
Letter,Holyrood House,,"1689, Jun 25"
Letter,Holyrood House,,"1689, Jun 27"
Letter,Holyrood House,,"1689, Jul 2"
Letter,Holyrood House,,"1689, Jul 4"
Letter,Holyrood House,,"1689, Jul 6"
Letter,Holyrood House,,"1689, Jul 9"
Letter,Holyrood House,,"1689, Jul 13"
Letter,Holyrood House,,"1689, Jul 18"
Letter,Holyrood House,,"1689, Jul 23"
Letter,Holyrood House,,"1689, Jul 25"
Letter,Holyrood House,,"1689, Jul 29"
Letter,Holyrood House,,"1689, Jul 30"
Letter,Holyrood House,,"1689, Aug 1"
Letter,Holyrood House,,"1689, Aug 3"
Letter,Holyrood House,,"1689, Aug 6"
Letter,Holyrood House,,"1689, Aug 8"
Letter,Holyrood House,,"1689, Aug 13"
Letter,Holyrood House,,"1689, Aug 15"
Letter,Holyrood House,,"1689, Aug 16"
Letter,Holyrood House,,"1689, Dec 29"
Letter,Strathspey,,"1689, Jun 13"
Letter,Inverness,,"1689, Jun 19"
Letter,Fettercairn,,"1689, Jul 14"
Letter,Stirling,,"1689, Jul 24"
Letter,St. Johnston,,"1689, Jul 26"
Letter,Stirling,,"1689, Jul 30"
Letter,St. Johnston,,"1689, Aug 4"
Letter,Forfar,,"1689, Aug 8"
Letter,Aberdeen,,"1689, Aug 11"
Letter,,,1689
Letter,Edinburgh,London,"1689, Sep 24"
Paper,Forfar,,"1689, Aug 8"
Letter,London,,"1689, May 15"
Letter,Hampton Court,Edinburgh,"1689, May 17"
Letter,London,,"1689, May 18"
Letter,London,,"1689, May 31"
Letter,London,,"1689, Jun 4"
Letter,London,,"1689, Jun 13"
Letter,Hampton Court,,"1689, Jun 13"
Letter,,,"1689, Jun 15"
Warrant,Whitehall,,"1689, Jun 15"
Letter,London,,"1689, Jun 18"
Letter,Hampton Court,,"1689, Jun 27"
Letter,London,,"1689, Jun 29"
Letter,,,"1689, Jul 2"
