Place Type,Location,"Lat, Long",Weight
Town,Wishaw,"55.77511478862404, -3.922563932189526",4
Castle,Edinburgh Castle,"55.94893068897514, -3.195664923555515",1
Town,Linlithgow,"55.972085281287114, -3.5983152017660935",2
City,Amsterdam,"52.36625726294662, 4.9010414864684515",1
Town,Bo'ness,"56.01370086755779, -3.6031468037965193",1
Village,"Loo, Netherlands","51.93037215002351, 5.987698950957432",2
Municipality,"Breda, Netherlands","51.57174511874115, 4.769902558706592",1
City,"Brussells, Belgium","50.844169151733745, 4.357551988821734",2
Residence,Brousterland,"55.76368, -4.17785",1
Burgh,Harlington,"51.48710241563574, -0.43696499160723756",2
Town,Stafford,"52.806694307092535, -2.116694894601483",1
Town,Stingboun [Springburn],"55.88281485463562, -4.222235667783246",1
Street,"Old Sprin Garden, London","51.5065, -0.1279",1
Village,Kirkcudbright,"54.83673389936187, -4.046833224204209",1
,Sher,,1
Residence,Lauchop,"55.8337381951405, -3.94590396797477",1
Village,Tannochside,"55.83184707738945, -4.078710504433285",1
,Broombie,,1
Town,Netherfield,"52.96306762097376, -1.073666798052711",1
Village,Dolphinton,"55.705278, -3.426111",1
Village,Allanton,"55.78159, -2.21538",1
Village,Drayton,"50.844722, -1.044167",1
Post Office,"Post Office, London","51.48076445743208, -0.13158361093457976",2
Residence,Oates,"51.60826841651955, 0.15949396933013088",2
,Shoerw,,1
Village,Parkend,"51.7675752184941, -2.553464354294209",1
Hamlet,Woodside,"51.38825142956082, -0.06466756071718016",1
Coastal village,"Spithead, Isle of Wight","50.71455356108044, -0.9395252528866493",1
Shire,Lanarkshire,"55.585363078071765, -3.8240639549299416",1
Residence,"St. Germain, France","48.89969922552595, 2.11003192999102",1
Village,Broomhill,"55.87990431291461, -4.3124145316321645",1
Residence,Lochiel,"56.897759936905786, -5.458959958370828",1
