From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,Lady Belhaven,Beill,WROTE LETTER TO,Person,Duchess of Hamilton,,"1688, May 8",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3477
Person,William Hamilton,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Feb 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3478
Person,William Hamilton,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Mar 6",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3479
Person,Sir George Lockhart,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Mar 22",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3480
Person,William Hamilton,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Feb 19",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3481
Person,William Hamilton,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Jan 28",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3482
Person,W. Chetwynd,Ingestre,WROTE LETTER TO,Person,Edward Hungerford,,"1688, Jun 16",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3483
Person,H. Perye,,WROTE LETTER TO,Person,Lady Gerard,,c 1688,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3484
Person,William Hamilton,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Feb 7",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3485
Person,James Stewart,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Jan 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3486
Person,W.W.,,WROTE LETTER TO,Person,Lady Gerard,,"1688, Jun 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3487
Person,W.W.,,WROTE LETTER TO,Person,Lady Gerard,,"1688, Jun 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3488
Person,J. Bourdenane,,WROTE LETTER TO,Person,Mr. Charles Roberts,,"1688, Feb 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3489
Person,Sunderland,Whitehall,WROTE LETTER TO,Person,Hamilton,Holyrood House,"1688, Feb 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3490
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Sunderland,Whitehall,"1688, Feb 21",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3491
Person,J. Duncan,Kelso,WROTE LETTER TO,Person,Mr. Crawford,Holland House,"1688, Mar 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3492
