From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Person,Invergarry,Alexander McDowall,WROTE LETTER TO,Person,,Canon,"1689, Nov 11",1,GD26/8/54,
Person,Ballindaloch Castle,John Grant ,WROTE LETTER TO,Person,,Unknown,"1689, Nov 16",1,GD26/8/55,
Person,Unknown,Lindsay,WROTE LETTER TO,Person,,Anderson,"1689, Nov 21",1,GD26/8/56,
Person,Unknown,Unknown,WROTE LETTER TO,Person,,Langton,1689,2,GD26/8/57,
Person,London,Jacobite Agent,WROTE LETTER TO,Person,,Doctor Fall,"1689, Nov 28",1,GD26/8/58,
Person,Monymusk,Alexander McDowall,WROTE LETTER TO,Person,,Unknown,"1689, Dec 2",1,GD26/8/59,
Person,Dunollie,McDougal of Dunolych,WROTE LETTER TO,Person,,Canon,"1689, Dec 3",1,GD26/8/60,
Person,Kilmuir,Alexander McDowall,WROTE LETTER TO,Person,,Canon,"1689, Dec 6",1,GD26/8/61,
Person,Aberfoyle,L. McGregor,WROTE LETTER TO,Person,,Dunfermline,"1689, Dec 16",1,GD26/8/62,
Person,Aros,Alexander McDowall,WROTE LETTER TO,Person,,Dunfermline,"1689, Dec 18",1,GD26/8/63,
Person,Milgavie,Robert Stewart,WROTE LETTER TO,Person,,Dunfermline,"1689, Dec 21",1,GD26/8/64,
Person,Carlisle,Jane Wallace,Information,Person,Carlisle,Mayor of Carlisle,"1689, Dec 26",1,GD26/8/65,
Person,Unknown,John Farquarson,WROTE LETTER TO,Person,,Canon,"1689, Dec 29",1,GD26/8/66,
Person,Unknown,John McNaughton,Warrant,Place,,Duart Castle,"1689, Dec 31",1,GD26/8/67,
Person,Unknown,Alexander McDowall,WROTE LETTER TO,Person,,Canon,"1689, Dec",1,GD26/8/68,
Person,Bornseitack,D. McDonald,WROTE LETTER TO,Person,,Canon,"1689, Dec",1,GD26/8/69,
Person,Unknown,Unknown,Eulogy,Group,,Jacobites,c. 1689,1,GD26/8/70,
