From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,NRS Reference,
Person,Alexander McDowall,Invergarry,WROTE LETTER TO,Person,Canon,,"1689, Nov 11",1,GD26/8/54,
Person,John Grant ,Ballindaloch Castle,WROTE LETTER TO,Person,Unknown,,"1689, Nov 16",1,GD26/8/55,
Person,Lindsay,Unknown,WROTE LETTER TO,Person,Anderson,,"1689, Nov 21",1,GD26/8/56,
Person,Unknown,Unknown,WROTE LETTER TO,Person,Langton,,1689,2,GD26/8/57,
Person,Jacobite Agent,London,WROTE LETTER TO,Person,Doctor Fall,,"1689, Nov 28",1,GD26/8/58,
Person,Alexander McDowall,Monymusk,WROTE LETTER TO,Person,Unknown,,"1689, Dec 2",1,GD26/8/59,
Person,McDougal of Dunolych,Dunollie,WROTE LETTER TO,Person,Canon,,"1689, Dec 3",1,GD26/8/60,
Person,Alexander McDowall,Kilmuir,WROTE LETTER TO,Person,Canon,,"1689, Dec 6",1,GD26/8/61,
Person,L. McGregor,Aberfoyle,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 16",1,GD26/8/62,
Person,Alexander McDowall,Aros,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 18",1,GD26/8/63,
Person,Robert Stewart,Milgavie,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 21",1,GD26/8/64,
Person,Jane Wallace,Carlisle,Information,Person,Mayor of Carlisle,Carlisle,"1689, Dec 26",1,GD26/8/65,
Person,John Farquarson,Unknown,WROTE LETTER TO,Person,Canon,,"1689, Dec 29",1,GD26/8/66,
Person,John McNaughton,Unknown,Warrant,Place,Duart Castle,,"1689, Dec 31",1,GD26/8/67,
Person,Alexander McDowall,Unknown,WROTE LETTER TO,Person,Canon,,"1689, Dec",1,GD26/8/68,
Person,D. McDonald,Bornseitack,WROTE LETTER TO,Person,Canon,,"1689, Dec",1,GD26/8/69,
Person,Unknown,Unknown,Eulogy,Group,Jacobites,,c. 1689,1,GD26/8/70,
Group,Highland Clans,Unknown,Military Report,Person,Unknown,,c. 1689,1,GD26/8/71,
Person,Unknown,Huntly,WROTE LETTER TO,Person,Dunfermline,,c. 1689,1,GD26/8/72,
Person,Thomas Dunbar,Edinburgh Tollbooth,WROTE LETTER TO,Person,Lt. Col. Wilson,Edinburgh Castle,c. 1689,2,GD26/8/73,
Group,Cap. McAdam; two officers,Unknown,Report,Person,Unknown,,c. 1689,1,GD26/8/74,
Person,James Winchester,Strathdon,WROTE LETTER TO,Person,Dunfermline,,c. 1689,1,GD26/8/75,
Person,William Riach,Unknown,Information,Person,Melville,,c. 1689,1,GD26/8/76,
Person,Unknown,Edinburgh,Information,Person,Melville,,c. 1689,1,GD26/8/77,
Person,Ewan Cameron,Lochiel,WROTE LETTER TO,Person,Canon,,"1690, Jan 18",1,GD26/8/78,
Person,John Farquarson,Brae of Mar,WROTE LETTER TO,Person,Canon,,"1690, Jan 26",1,GD26/8/79,
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Canon,,"1690, Jan 26",1,GD26/8/80,
Person,Alexander McLean,Duart,WROTE LETTER TO,Person,Canon,,"1690, Jan 28",1,GD26/8/81,
Person,Alexander McDonald,Inverlochy,WROTE LETTER TO,Person,Glengarry,,"1690, Feb 1",1,GD26/8/82,
Person,Buchan,Mull,WROTE LETTER TO,Person,Canon,Lochaber,"1690, Feb 3",1,GD26/8/83,
Person,John Boyd,Belfast,Deposition,Group,Skelmorlie; Provost of Irvine,Irvine,"1690, Feb 5",1,GD26/8/84,
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Canon,Lochaber,"1690, Feb 27",1,GD26/8/85,
Person,A. McDougall,Dunollie,WROTE LETTER TO,Person,Laird McNaughton,,"1690, Mar 2",1,GD26/8/86,
Person,Patrick Logan,Unknown,WROTE LETTER TO,Person,Buchan,,"1690, Mar 5",1,GD26/8/87,
Person,McNaughton,Unknown,WROTE LETTER TO,Person,Canon,,"1690, Mar 8",1,GD26/8/88,
Person,Allan McDonald,Moidart,WROTE LETTER TO,Person,Canon,,"1690, Mar 8",1,GD26/8/89,
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Mar 18",1,GD26/8/90,
Person,King James,Dublin,Commission,Organization,Parliament,,"1690, Mar",1,GD26/8/91,
Person,King James,Dublin,Plan for Invasion,Group,Jacobites,,"1690, Mar",1,GD26/8/91,
Person,William McKay,Thurso,WROTE LETTER TO,Person,Thomas Livingston,Inverness,c. 1690,2,GD26/8/92,
Person,John Buchan,Aberdeen,WROTE LETTER TO,Person,Unknown,,"1690, Apr 7",1,GD26/8/93,
Person,King James,Dublin,Instructions,Organization,Parliament,,"1690, Apr 13",2,GD26/8/93a,
Person,Unknown,London,WROTE LETTER TO,Person,Melville,Edinburgh,"1690, May 30",1,GD26/8/94,
Person,Jameson,France,WROTE LETTER TO,Person,Thomas Davidson,,"1690, Jun 29",1,GD26/8/95,
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Aeneas Macpherson,,"1690, Jul 18",1,GD26/8/96,
Person,John Grierson,Dumfries,WROTE LETTER TO,Person,Melville,,"1690, Aug 6",1,GD26/8/97,
Person,James Graham,Edinurgh,Passes,Group ,Bellenden,,"1690, Sep 2",1,GD26/8/98,
Person,Buchan,Fedderate,WROTE LETTER TO,Person,Hamilton,,"1690, Sep 18",1,GD26/8/99,
Person,J. Ribault,Essex,WROTE LETTER TO,Person,Melville,,"1690, Dec 9",1,GD26/8/101,
Person,John Stewart,Ardsheal,Information,Person,Laird McNaughton,,c. 1690,1,GD26/8/102,
Person,Isobel McNaughton,Unknown,WROTE LETTER TO,Person,McNaughton,,c. 1690,1,GD26/8/103,
Person,I. Campbell,Castle Kilchurn,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,5,GD26/8/104,
