From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference,
Person,Erskine Dunn,Letter,Person,Melville,1689,3,GD26/9/249,
Person,Lord Blantyre,Letter,Person,Melville,1689,1,GD26/9/250,
Person,Cardross,Letter,Person,Melville,"1689, Aug",1,GD26/9/251,
Group,Officers and Soldiers of Lord Angus,Address,Person,Mackay,1689,1,GD26/9/254,
Person,Thomas Livingston,Letter,Person,Mackay,1689-1690,3,GD26/9/255,
Person,Lt. Col. William Cleland,Letter,Person,Melville,1689,3,GD26/9/256,
Person,Countess Mar,Letter,Person,Leven,1689,1,GD26/9/260,
Person,Countess Mar,Letter,Person,John Dalrymple,1689,1,GD26/9/260,
Person,Charles Gordon,Letter,Person,Melville,"1690, Jan 3",1,GD26/9/262,
Person,John Buchan,Letter,Person,Laird Binning,"1690, Jan 21",1,GD26/9/263,
Person,Countess Rothes,Letter,Person,Melville,"1690, Feb 10",1,GD26/9/265,
Organization,Lords of Treasury,Warrant,Person,James Oswald of Fingleton,"1690, Feb 26",1,GD26/9/266,
Person,E. Wilson,Letter,Person,Melville,"1690, Feb 28",1,GD26/9/267,Asking to be exchanged
Person,John Buchan,Letter,Person,Melville,"1690, Apr 10",1,GD26/9/270,Jacobite rising Aberdeen
Person,James Douglas,Letter,Person,Leven,"1690, Apr 23",1,GD26/9/271,
Person,Colonel John Hill,Letter,Person,Melville,"1690, Jun",12,GD26/9/274,
Person,Henry Raine,Letter,Person,Melville,"1690, Jul 2",1,GD26/9/275,prisoner asking for leniency
Person,Cockburn of Ormiston,Letter,Person,Crawford,"1690, Jul",1,GD26/9/276,
Person,Mackay,Letter,Person,Melville,1690,2,GD26/9/280,
Person,Melville,Warrant,Person,Scrimgeour,"1690, Sep 20",1,GD26/9/281,
Person,Unknown,Letter,Person,Melville,"1690, Nov 11",1,GD26/9/283,
Person,Thomas Livingston,Letter,Person,Melville,1690,2,GD26/9/284,
Person,William Blathwayt,Letter,Person,Melville,"1690, Nov",2,GD26/9/285,
Person,Captain Peter Walkins,Petition,Person,King William,1690,1,GD26/9/309,
Organization,Lords of Treasury,Letter,Person,Melville,"1691, Jan",1,GD26/9/313,
Person,Thomas Livingston,Letter,Person,Melville,"1691, Jan",9,GD26/9/315,
Person,John Dalrymple,Letter,Person,Melville,"1691, Feb-Aug",4,GD26/9/316,
Person,Cardross,Letter,Person,Melville,"1691, Feb 10",1,GD26/9/317,
Person,John Buchan,Letter,Person,Melville,"1691, Mar",2,GD26/9/321,
Person,Andrew Fletcher,Letter,Person,Unknown,"1691, June 16",1,GD26/9/323,
Person,Colonel John Hill,Letter,Person,Breadalbane,"1691, Oct 17",1,GD26/9/325,
Person,John Dalrymple,Letter,Person,Melville,"1691, Jan 27",1,GD26/9/332,
Person,Thomas Livingston,Letter,Person,Melville,"1692, Jan 28",1,GD26/9/335,
Person,Pembroke; Lowther,Letter,Person,Melville,"1690, Mar 11",1,GD26/9/550,
