"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Person","Ewan Cameron","Letter","Person","Canon","1","611044a2-f008-4104-beab-1f732073b07d","9d957034-5dba-4505-a312-154a15d00bd0","e5f4a1d7-a704-4cc6-b88a-fe8a5e7e17d7","c1af4b09-a81b-48f8-9f42-3e8baa1ecf9b"
"Person","Schwerin","Letter","Person","Leven","1","504f48ac-b6b6-4988-8401-4434fdcd2eac","9d957034-5dba-4505-a312-154a15d00bd0","90a140c9-a62d-420b-bbad-b64672af4467","c7777660-ab3f-4b7d-974e-adb1f9a1ca3b"
"Person","W. Erskine","Letter","Person","Unknown","1","1ed16fa5-3e2c-47e4-bb23-125cc1b6c76e","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","58c25f52-732c-4155-a090-f8e194aa45f1"
"Person","Ester de Varengeville","Letter","Person","Duchess of Hamilton","1","1a232258-cbbc-4923-a617-7b6c2f99e44b","9d957034-5dba-4505-a312-154a15d00bd0","bd1090b3-01c5-4fba-afb5-2c972382a9fe","b8cdecc0-cccf-490e-a48a-9566af62c32e"
"Person","James Hamilton","Letter","Person","Hamilton","1","ca1db5a9-b89e-4c51-94af-25bb54ece423","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","e715fdeb-8b64-4418-b674-19e7aff51750"
"Person","Buchan","Letter","Person","Hamilton","1","4572c060-b96c-4e3c-8d1f-568d5bb0b813","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","8da49517-14a8-4ae9-9978-fd396638469d"
"Person","J. Young","Letter","Person","John Robertson","1","4afadd85-9842-45d7-985f-58660b2f988e","9d957034-5dba-4505-a312-154a15d00bd0","b5c65c67-b6f8-4522-8555-97083737a819","51076327-8599-413b-a6c5-73952f80fdb7"
"Person","Stevenston","Letter","Person","Melville","2","f1a424a1-7032-4ac4-9888-197bfd70dc54","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","2f407606-d725-4fb0-90c0-e46eca51ba5a"
"Person","Dundee","Letter","Person","James Murray","4","1bedf365-ada4-40b1-8966-9f5cd3b02999","9d957034-5dba-4505-a312-154a15d00bd0","11f386fd-a7a9-4fb0-b74a-94148b2190d9","b43e1597-47fa-4aba-b0fe-74ff7f3d5ebb"
"Person","Melfort","Letter","Person","Cap. Cole","1","6421c452-2f83-48d4-9f02-0cb729e906f2","9d957034-5dba-4505-a312-154a15d00bd0","16a68d30-3c33-4e06-b19f-63120daf27b2","84899cd0-4ab3-46b7-98d9-978a0d577e7f"
"Person","Arran","Letter","Person","Mr. Robert Murray of Tippermuir","2","e8b02d95-be78-43e3-aa78-948e459cd9fe","9d957034-5dba-4505-a312-154a15d00bd0","c68baaf3-1d7e-44fc-9e8d-d0a9301acb03","a0b29081-09e7-4853-b0a1-aa6146302a9f"
"Person","Gilbert Eliot","Letter","Person","Hamilton","6","eb644650-3ef9-45a4-b389-2fde021ee50e","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","d744e2c3-eea4-4656-9003-7734bbe65c43"
"Person","James Johnston","Letter","Person","Hamilton","1","867a5499-ce31-4ef9-9e88-6d997c7b013a","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","e640b3d3-87e8-4f67-8530-47a1c3682fc8"
"Person","Edward Hungerford","Letter","Person","Lady Gerard","1","18507ec6-3e6f-4a0c-a811-f2c516385558","9d957034-5dba-4505-a312-154a15d00bd0","16ad3896-f2fd-4c2c-a024-c94c68a1b31e","69db50ff-cf1d-42d4-9e36-550e3b79e726"
"Person","John Farquarson","Letter","Person","Canon","2","b1bb2135-83bc-477a-9a5f-8038a5cfb6d8","9d957034-5dba-4505-a312-154a15d00bd0","e5f4a1d7-a704-4cc6-b88a-fe8a5e7e17d7","c9ca4c4a-edd9-4581-b1c3-a33b29c755fc"
"Person","McLean","Letter","Person","Melfort","1","42cd0d7c-46b1-4c80-9c4c-cb293667396f","9d957034-5dba-4505-a312-154a15d00bd0","6421c452-2f83-48d4-9f02-0cb729e906f2","627171a4-4fab-47aa-b8d1-6b41dd82f61f"
"Person","King James","Letter","Person","Balcarres","1","b550cdd1-7f1d-4332-8fc1-b31c62a7ad11","9d957034-5dba-4505-a312-154a15d00bd0","6e062900-e6ab-4276-aa0d-1ebd16161cfe","82af8e99-c92a-4454-9b55-bb75fdad4a2e"
"Person","Archibald Hamilton","Letter","Person","John Clark","2","1f4efedf-a201-4b31-9399-8f352e25f005","9d957034-5dba-4505-a312-154a15d00bd0","e17a80d3-51fd-47f0-b17c-0ac1715f5c2d","0c0961fc-f794-4359-ae3c-da91344754ec"
"Person","Arran","Letter","Person","Robert Murray","1","e8b02d95-be78-43e3-aa78-948e459cd9fe","9d957034-5dba-4505-a312-154a15d00bd0","50b771a2-a9ad-4434-8321-79a580ed1b87","fb4f0c7e-48a2-493d-af9f-88478b0647c2"
"Person","McDougal of Dunolych","Letter","Person","Canon","1","73e9f0ee-3551-4f97-91c9-c75a6894bf98","9d957034-5dba-4505-a312-154a15d00bd0","e5f4a1d7-a704-4cc6-b88a-fe8a5e7e17d7","249a28c4-8707-4edc-92bb-c615eee4912d"
"Person","Unknown","Letter","Person","Unknown","1","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","3df112e8-a38f-4a87-ad30-a924b2b27c82"
"Person","Edward Hungerford","Letter","Person","John Underwood","1","18507ec6-3e6f-4a0c-a811-f2c516385558","9d957034-5dba-4505-a312-154a15d00bd0","dc7ea461-53fa-4ecc-93d7-3e1b3fab909e","064bcebf-d2cb-449d-a223-b6dd6c616044"
"Person","Unknown","Letter","Person","Unknown","7","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","2ca2100a-acdf-4ab6-b298-669e88677b5c"
"Person","George Milne","Letter","Person","Unknown","1","2687ded9-581b-45e1-a7ed-4d4b14b4bfd8","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","0864f61d-5962-440a-b889-cfe58875b9f8"
"Person","Stewart of Coltness","Letter","Person","Melville","1","532590d1-6926-422b-8da2-5c7de48f028d","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","dd65cb2c-49ed-4b97-aee5-8db0c998b08b"
"Person","Scrimgeour","Letter","Person","Leven","32","675dee96-5c8c-4232-9bc6-5e4a42ec28a3","9d957034-5dba-4505-a312-154a15d00bd0","90a140c9-a62d-420b-bbad-b64672af4467","c46185f6-cd1e-4823-a862-d49f7bcbede5"
"Person","Aeneas McPherson","Letter","Person","Unknown","1","fa11836a-2f9a-4315-b67d-af0c708d7f16","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","88423272-8b96-4e1f-8a84-df42006f4138"
"Person","James Ogilvie","Letter","Person","William Black","1","d4c2bf0e-9bec-465d-911b-53addfb63c39","9d957034-5dba-4505-a312-154a15d00bd0","9570a408-bc33-4b81-a8a6-f8ab73aab365","44c9e7b0-6982-4d65-8598-188aa86b6bb2"
"Person","John Macky","Letter","Person","Melville","1","709b4213-c057-49bc-97ce-da49d358a8cb","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","dc2750c4-3ab3-4dc5-a007-c5b235e65e80"
