"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","Susan Howard, Panmure",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","42f41815-de25-48d1-8da5-f810742e71e4"
"Person","Mr. Ward",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","33e02eb7-6176-41bc-b403-2c6f8920c4af"
"Person","Hall",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","95d774ba-6082-4307-8179-7fce8d964e19"
"Person","Hamitlon",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","88c87f96-a2ae-48f3-886d-7ce0a1ab7328"
"Person","Polwarth",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e7753e5f-4d93-4ee0-9b34-a42b62043166"
"Person","Laird of Spittell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ae16f7eb-ff94-4adf-b3e4-f65bd08264f0"
"Person","Thomas Livingston",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e7a890c1-eabd-45b5-a1e9-572db251c49c"
"Person","Shrewsbury",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7ea35c53-00c9-40f5-aca2-927f9561b78d"
"Person","F. Saunders",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","cf297977-03a0-4b6a-aac8-5f7e2a701c41"
"Person","Barrellon",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","54ecca96-653b-43e1-aee3-c6eccbf60584"
"Person","James Graham",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c375c556-7674-4770-b667-f2679daa0aa6"
"Person","Hew Wood",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","49a55662-bbac-4592-abf5-d6fe47db1a2a"
"Person","Bruce",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","d80220b3-94c3-4ec9-b4d2-1c2bc61718f6"
"Person","William Stewart",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a0a72b56-cdb4-494e-adfe-0454ee0446bd"
"Person","John Saunders",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","8c3f57d2-fae4-4b44-b068-7f14d69c6baf"
"Person","Archibald Hamilton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1f4efedf-a201-4b31-9399-8f352e25f005"
"Person","E. Foden",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","19264cac-2289-4959-b9eb-4baed203a16b"
"Person","Andrew Russell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","37442a1f-1bb1-4182-bcd4-b97afa7542b6"
"Person","Neville Payne",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","fd8b619a-36f4-4e5b-9ab1-23a54668bcb1"
"Person","McNaughton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2269a15b-5984-4f96-be37-9b0598129963"
"Person","Baillie Clerk",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","8cf1121a-0ab8-4db9-bd99-faae1e33a0ca"
"Person","William Black",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9570a408-bc33-4b81-a8a6-f8ab73aab365"
"Person","John Boyd",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","d1241d28-1948-4128-846a-4958cfd1bcb9"
"Person","Countess of Kincardine",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6de733a8-10d2-41d9-8dc0-976ee6e53ead"
"Person","David Hume",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6cb2cd8a-1caf-415a-bec5-9652b0d82a05"
"Person","Jacobite Agent",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7e97a712-8ac8-4c89-a0e6-6502bc0b906a"
"Person","George Hamilton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","01f0b3a4-5b30-446f-bf75-5f2e2865ae36"
"Person","Thomas Rokeby",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9f9a856c-4345-499e-bb29-7c1d4fcf66de"
"Person","Miss Gilbert",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6f5a39d0-f5f3-48ba-b08e-fff9abd3fdb1"
"Person","Conne",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","13230add-239c-4a51-b562-a2adacf19972"
"Person","Lady Tarbat",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","8144f418-8ee0-4087-a757-4a35b21b80b3"
"Person","His wife",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a14bf4d5-3126-4dd3-b664-1f569ed17fa2"
"Person","John Craig",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","77e7ea18-6d16-41c3-be76-551bb0d5e473"
"Person","Lord Cardross",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","d81240d1-42a2-4843-9244-bbf7bfe76d47"
"Person","John Farquarson",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b1bb2135-83bc-477a-9a5f-8038a5cfb6d8"
"Person","John Hamilton, Halcraig",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","34a7a664-d507-4834-863e-f0d335840d5e"
"Person","Hugh Campbell of Cawdor",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e50906e8-ac85-4ee8-9afe-3cb56525bad6"
"Person","Laird of Westshields",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","eadd2a55-2bcc-4ea3-b99c-41776ef74049"
"Person","Kennedy of Cloburne",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1d613389-1547-41fe-859b-c462910e1447"
"Person","James Kirkton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","930a287d-cf57-4a5d-aeb6-51dd15a4eb8b"
"Person","John Buckingham",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","55290df9-4c6c-40b1-bbc6-8004972d8a4d"
"Person","Mrs. McNaughton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9fa7d2de-6f95-41ec-b4c4-c0edbdd0a94b"
"Person","Philliphaugh",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","5ee96607-091d-418a-b601-1486d6ea3538"
"Person","A. Kennedy",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6e486e74-c281-4430-9ba5-1d28f21c0e93"
