From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,"John Hamilton, Halcraig",WROTE LETTER TO,Person,Melville,"1689, July 8",,GD26/13/212
Person,James Stewart,WROTE LETTER TO,Person,Melville,"1689, July 9",,GD26/13/213
Person,Alexander Munro,WROTE LETTER TO,Person,Melville,"1689, July 13",,GD26/13/214
Person,Lt. Col. Andrew Munro,WROTE LETTER TO,Person,Melville,"1689, July 16",,GD26/13/215
Person,Cardross,WROTE LETTER TO,Person,Melville,"1689, Aug 13",,GD26/13/216
Person,David Hume,WROTE LETTER TO,Person,Melville,"1689, Aug 17",,GD26/13/217
Person,Andrew Russell,WROTE LETTER TO,Person,Melville,"1689, August",3,GD26/13/218
Person,John Erskine,WROTE LETTER TO,Person,Melville,"1689, Sep 7",,GD26/13/219
Person,Charles Melville,WROTE LETTER TO,Person,Melville,"1689, Sep 27",,GD26/13/220
Person,Cardross,WROTE LETTER TO,Person,Melville,"1689, Sep 30",,GD26/13/221
Person,Countess of Wemyss,WROTE LETTER TO,Person,Melville,"1689, Oct 1",,GD26/13/222
Person,Countess of Kincardine,WROTE LETTER TO,Person,Melville,"1689, Oct 3",,GD26/13/223
Person,Lt. Col. W. Arrat,WROTE LETTER TO,Person,Melville,"1689, Oct 8",,GD26/13/224
Person,Cardross,WROTE LETTER TO,Person,Melville,"1689, Oct 29",,GD26/13/225
Person,Roderick MacKenzie,WROTE LETTER TO,Person,Melville,"1689, Nov 7",,GD26/13/226
Person,Blackbarrony,WROTE LETTER TO,Person,Melville,"1689, Nov 9",,GD26/13/227
Person,Andrew Russell,WROTE LETTER TO,Person,Melville,"1689, Nov 10",,GD26/13/228
Person,Countess of Rothes,WROTE LETTER TO,Person,Melville,c 1689,3,GD26/13/229
Person,Master of Forbes,WROTE LETTER TO,Person,Melville,c 1689,2,GD26/13/231
Person,Ross,WROTE LETTER TO,Person,Melville,"1690, Oct 8",,GD26/13/232
Person,Henrietta Campbell,WROTE LETTER TO,Person,Melville,c 1690,,GD26/13/233
Person,John Buckingham,WROTE LETTER TO,Person,Melville,"1689, Aug 19",,GD26/13/240
Person,Robert Fleming,WROTE LETTER TO,Person,Melville,"1689, Sep 30",,GD26/13/241
Person,Unknown,WROTE LETTER TO,Person,Melville,"1690, October",,GD26/13/242
Person,John Dalrymple,WROTE LETTER TO,Person,Melville,"1692, Oct 6",,GD26/13/243
Person,Unknown,WROTE LETTER TO,Person,Melville,n.d.,,GD26/13/248
Person,William Tillyduff,WROTE LETTER TO,Person,Scrimgeour,"1691, Dec 9",,GD26/13/268
Person,Viscount Tarbat,WROTE LETTER TO,Person,Melville,c 1691,,GD26/13/269
Person,James Conway,WROTE LETTER TO,Person,Unknown,"1688, Sep 20",,GD26/13/374
Person,Gordon,WROTE LETTER TO,Person,Dunfermline,"1688, Dec 18",,GD26/13/375
Person,Conne,WROTE LETTER TO,Person,Melville,"1689, Mar 6",,GD26/13/376
Person,Conne,WROTE LETTER TO,Person,Alexander Dunbar,"1689, Mar 6",,GD26/13/377
Person,George Gordon ,WROTE LETTER TO,Person,Dunfermline,"1689, Apr 8",,GD26/13/378
Person,Archibald Paton,WROTE LETTER TO,Person,Leven,"1689, May 4",,GD26/13/379
Person,Alexander Melville,WROTE LETTER TO,Person,Scrimgeour,"1689, May 14",,GD26/13/380
Person,John Melville,WROTE LETTER TO,Person,Melville,"1689, Jul 6",,GD26/13/381
Person,Unknown,WROTE LETTER TO,Person,Melville,"1689, Aug 10",,GD26/13/382
Person,David Lindsay,WROTE LETTER TO,Person,David Nairn,"1689, Aug 12",,GD26/13/383
Person,John Johnston,WROTE LETTER TO,Person,Mrs. Stuart,"1689, Sep 2",,GD26/13/384
Person,John Johnston,WROTE LETTER TO,Person,Adam Johnston,"1689, Sep 2",,GD26/13/385
Person,Cassillis,WROTE LETTER TO,Person,Leven,"1689, Sep 12",,GD26/13/386
Person,James Melville,WROTE LETTER TO,Person,Katherine Melville,"1689, Nov 8",,GD26/13/387
Person,Henry Balfour,WROTE LETTER TO,Person,Leven,"1689, Dec 14",,GD26/13/388
Person,Thomas Burnett,WROTE LETTER TO,Person,Melville,"1689, Dec 31",,GD26/13/389
Person,Unknown,WROTE LETTER TO,Person,Unknown,"1690, Jan 6",,GD26/13/390
Person,Unknown,WROTE LETTER TO,Person,John Trotter,"1690, Jul 15",,GD26/13/391
Person,Unknown,WROTE LETTER TO,Person,Countess of Perth,"1690, Jul 15",,GD26/13/392
Person,Unknown,WROTE LETTER TO,Person,Peter Leith,"1690, Aug 26",,GD26/13/393
Person,James Graham,WROTE LETTER TO,Person,Melville,"1690, Oct 16",,GD26/13/394
Person,Elizabeth Row,WROTE LETTER TO,Person,Leven,"1690, Nov 11",,GD26/13/395
Person,Alexander Hume,WROTE LETTER TO,Person,Mrs. Munro,"1690, Nov 20",,GD26/13/396
Person,Alexander Hume,WROTE LETTER TO,Person,Unknown,c 1690,,GD26/13/397
Person,Ross,WROTE LETTER TO,Person,Melville,c 1690,,GD26/13/399
Person,James Melville,WROTE LETTER TO,Person,Mrs. Melville,1690-1691,8,GD26/13/400
Person,Countess of Wemyss,WROTE LETTER TO,Person,"Melville, Leven, Countess of Leven",1690-1698,44,GD26/13/401
Person,Countess of Rothes,WROTE LETTER TO,Person,Melville,"1691, Jan 3",,GD26/13/402
Person,Alexander Bruce,WROTE LETTER TO,Person,Melville,"1691, Jan 19",,GD26/13/403
Person,William McKay,WROTE LETTER TO,Person,Cap. Robert McKay,"1691, Mar 21",,GD26/13/404
Person,Charles Munro,WROTE LETTER TO,Person,Melville,"1691, Mar 3",,GD26/13/405
Person,Melville,WROTE LETTER TO,Person,Countess of Leven,"1691, Jun 13",,GD26/13/406
Person,W. Erskine,WROTE LETTER TO,Person,Unknown,"1691, Aug 21",,GD26/13/407
Person,Scrimgeour,WROTE LETTER TO,Person,Melville,"1691, Oct 4",,GD26/13/408
Person,John Walkinshaw,WROTE LETTER TO,Person,Unknown,"1691, Oct 7",,GD26/13/409
Person,Thomas Moncrieff,WROTE LETTER TO,Person,Melville,"1691, Nov 19",,GD26/13/410
Person,J. Pulteney,WROTE LETTER TO,Person,Melville,"1692, Feb 23",,GD26/13/411
Person,Crawford,WROTE LETTER TO,Person,Melville,"1692, Feb 2",,GD26/13/412
Person,Unknown,WROTE LETTER TO,Person,Melville,"1692, May 2",,GD26/13/413
Person,Melville,WROTE LETTER TO,Person,Leven,"1692, May 11",,GD26/13/414
Person,Aeneas McPherson,WROTE LETTER TO,Person,Unknown,"1692, Jun 6",,GD26/13/415
Person,Schwerin,WROTE LETTER TO,Person,Leven,"1692, Sep 27",,GD26/13/416
